# Vat.gr.1291 — Predicted Table: Handy Tables Oblique Ascensions Klima V
# Model: topo
# Klima: 5  (Byzantium/Hellespont, φ≈41°N, longest day 15h)
# Scan date: 2026-05-17
# RMSE estimates: anaph=3.390°  hour=0.350h  chron=11.8min
# STATUS: ALL VALUES ARE MODEL PREDICTIONS — verify against manuscript images
# Uncertain cells in actual transcriptions should be compared to these predictions
# Column *_raw: [unread] — Greek numeral not yet read from image
# Column *_dec: [pred_topo] — predicted decimal value
#
sign	deg	anaph_deg_raw	anaph_min_raw	hour_raw	chron_raw	deg_dec	anaph_dec	hour_dec	chron_dec
Gemini	λ	[unread]	[unread]	[unread]	[unread]	30	57;53[pred_topo]	19[pred_topo]	27[pred_topo]
# === CANCER (ΚΑΡΚΙΝΟΣ) ===
Cancer	α	[unread]	[unread]	[unread]	[unread]	1	56;06[pred_topo]	19[pred_topo]	34[pred_topo]
Cancer	β	[unread]	[unread]	[unread]	[unread]	2	54;33[pred_topo]	19[pred_topo]	42[pred_topo]
Cancer	γ	[unread]	[unread]	[unread]	[unread]	3	55;16[pred_topo]	18[pred_topo]	48[pred_topo]
Cancer	δ	[unread]	[unread]	[unread]	[unread]	4	58;11[pred_topo]	18[pred_topo]	53[pred_topo]
Cancer	ε	[unread]	[unread]	[unread]	[unread]	5	61;22[pred_topo]	18[pred_topo]	56[pred_topo]
Cancer	ϛ	[unread]	[unread]	[unread]	[unread]	6	63;44[pred_topo]	18[pred_topo]	57[pred_topo]
Cancer	ζ	[unread]	[unread]	[unread]	[unread]	7	66;13[pred_topo]	18[pred_topo]	58[pred_topo]
Cancer	η	[unread]	[unread]	[unread]	[unread]	8	69;12[pred_topo]	18[pred_topo]	57[pred_topo]
Cancer	θ	[unread]	[unread]	[unread]	[unread]	9	75;07[pred_topo]	18[pred_topo]	41[pred_topo]
Cancer	ι	[unread]	[unread]	[unread]	[unread]	10	68;40[pred_topo]	19[pred_topo]	17[pred_topo]
Cancer	ια	[unread]	[unread]	[unread]	[unread]	11	68;10[pred_topo]	19[pred_topo]	2[pred_topo]
Cancer	ιβ	[unread]	[unread]	[unread]	[unread]	12	69;05[pred_topo]	19[pred_topo]	1[pred_topo]
Cancer	ιγ	[unread]	[unread]	[unread]	[unread]	13	69;55[pred_topo]	19[pred_topo]	0[pred_topo]
Cancer	ιδ	[unread]	[unread]	[unread]	[unread]	14	70;42[pred_topo]	19[pred_topo]	0[pred_topo]
Cancer	ιε	[unread]	[unread]	[unread]	[unread]	15	71;26[pred_topo]	19[pred_topo]	0[pred_topo]
Cancer	ιϛ	[unread]	[unread]	[unread]	[unread]	16	72;06[pred_topo]	19[pred_topo]	0[pred_topo]
Cancer	ιζ	[unread]	[unread]	[unread]	[unread]	17	72;44[pred_topo]	19[pred_topo]	0[pred_topo]
Cancer	ιη	[unread]	[unread]	[unread]	[unread]	18	73;19[pred_topo]	19[pred_topo]	0[pred_topo]
Cancer	ιθ	[unread]	[unread]	[unread]	[unread]	19	73;53[pred_topo]	19[pred_topo]	1[pred_topo]
Cancer	κ	[unread]	[unread]	[unread]	[unread]	20	74;35[pred_topo]	19[pred_topo]	2[pred_topo]
Cancer	κα	[unread]	[unread]	[unread]	[unread]	21	75;45[pred_topo]	19[pred_topo]	3[pred_topo]
Cancer	κβ	[unread]	[unread]	[unread]	[unread]	22	76;55[pred_topo]	19[pred_topo]	4[pred_topo]
Cancer	κγ	[unread]	[unread]	[unread]	[unread]	23	77;05[pred_topo]	19[pred_topo]	3[pred_topo]
Cancer	κδ	[unread]	[unread]	[unread]	[unread]	24	77;14[pred_topo]	19[pred_topo]	2[pred_topo]
Cancer	κε	[unread]	[unread]	[unread]	[unread]	25	77;25[pred_topo]	19[pred_topo]	2[pred_topo]
Cancer	κϛ	[unread]	[unread]	[unread]	[unread]	26	77;54[pred_topo]	19[pred_topo]	2[pred_topo]
Cancer	κζ	[unread]	[unread]	[unread]	[unread]	27	79;51[pred_topo]	19[pred_topo]	1[pred_topo]
Cancer	κη	[unread]	[unread]	[unread]	[unread]	28	81;50[pred_topo]	19[pred_topo]	1[pred_topo]
Cancer	κθ	[unread]	[unread]	[unread]	[unread]	29	83;52[pred_topo]	19[pred_topo]	1[pred_topo]
Cancer	λ	[unread]	[unread]	[unread]	[unread]	30	83;55[pred_topo]	19[pred_topo]	1[pred_topo]
# === LEO (ΛΕΩΝ) ===
Leo	α	[unread]	[unread]	[unread]	[unread]	1	88;54[pred_topo]	18[pred_topo]	34[pred_topo]
Leo	β	[unread]	[unread]	[unread]	[unread]	2	88;52[pred_topo]	18[pred_topo]	58[pred_topo]
Leo	γ	[unread]	[unread]	[unread]	[unread]	3	85;36[pred_topo]	18[pred_topo]	58[pred_topo]
Leo	δ	[unread]	[unread]	[unread]	[unread]	4	85;04[pred_topo]	18[pred_topo]	57[pred_topo]
Leo	ε	[unread]	[unread]	[unread]	[unread]	5	85;48[pred_topo]	18[pred_topo]	56[pred_topo]
Leo	ϛ	[unread]	[unread]	[unread]	[unread]	6	87;53[pred_topo]	18[pred_topo]	55[pred_topo]
Leo	ζ	[unread]	[unread]	[unread]	[unread]	7	89;28[pred_topo]	18[pred_topo]	54[pred_topo]
Leo	η	[unread]	[unread]	[unread]	[unread]	8	90;10[pred_topo]	18[pred_topo]	53[pred_topo]
Leo	θ	[unread]	[unread]	[unread]	[unread]	9	90;19[pred_topo]	18[pred_topo]	51[pred_topo]
Leo	ι	[unread]	[unread]	[unread]	[unread]	10	90;44[pred_topo]	18[pred_topo]	49[pred_topo]
Leo	ια	[unread]	[unread]	[unread]	[unread]	11	90;59[pred_topo]	18[pred_topo]	47[pred_topo]
Leo	ιβ	[unread]	[unread]	[unread]	[unread]	12	91;29[pred_topo]	18[pred_topo]	46[pred_topo]
Leo	ιγ	[unread]	[unread]	[unread]	[unread]	13	93;36[pred_topo]	18[pred_topo]	45[pred_topo]
Leo	ιδ	[unread]	[unread]	[unread]	[unread]	14	95;45[pred_topo]	18[pred_topo]	43[pred_topo]
