dataset,domain,n_samples,n_features,n_classes,accuracy,tdi_vr_h0,tdi_vr_h1,tdi_alpha_h0,tdi_alpha_h1,tdi_random_label,signal_ratio,input_entropy_h0,input_entropy_h1,input_knn_purity,final_knn_purity,purity_gain
wilt_seed_3_nrows_2000_nclasses_,openml_catalog,1108,5,2,0.9747292418772563,339.8963329746107,45.23344796479468,309.22590061006997,40.45194214062316,336.12158411813976,0.9888944113534968,5.826000861486611,4.907406312992726,0.8825,0.9269999999999999,0.044499999999999984
riccardo_seed_2_nrows_2000_nclas,openml_catalog,1500,100,2,0.856,2237.6611732551955,81.36030681016376,1765.748831052747,63.3368234192375,2077.3496543191277,0.9283575543732309,5.9263673003275485,4.552648664039916,0.589,0.6779999999999999,0.08899999999999997
MiniBooNE_seed_0_nrows_2000_ncla,openml_catalog,2000,50,2,0.882,334.58732315516284,45.636034658606725,284.5035169886485,28.64171101399159,241.54136116895262,0.7219082865758762,4.864552255975708,5.042202961388156,0.8029999999999999,0.825,0.02200000000000002
autos,openml_catalog,205,15,2,0.5769230769230769,146.9170986741058,14.871289589261599,146.9170986741058,14.871289589261599,124.12689680654432,0.8448771308905635,4.97538240981011,3.620431521236692,0.715121951219512,0.7453658536585367,0.03024390243902464
pol_seed_1_nrows_2000_nclasses_1,openml_catalog,2000,26,2,0.964,191.8920822592505,33.88186274520119,149.77191172634846,26.55441455191044,121.62656616200178,0.6338279554321662,5.678936711482016,4.184307354699167,0.8205,0.8710000000000001,0.0505000000000001
Employee,openml_catalog,2000,3,2,0.61,230.30535842344634,66.06573154551045,203.65857848158947,56.02891089493569,211.497887469065,0.9183368069109302,5.213509415915401,4.687681489937763,0.5315000000000001,0.5275,-0.004000000000000115
qsar_biodeg_seed_1_nrows_2000_nc,openml_catalog,1055,41,2,0.8825757575757576,312.9328012805606,42.97708079631087,289.87552459948375,33.30774109614624,297.0600944593555,0.94927758689325,5.808823074116271,4.882036260958662,0.787,0.809,0.02200000000000002
electricity_seed_4_nrows_2000_nc,openml_catalog,2000,7,2,0.798,361.70865591312884,53.542806128174426,282.7509521637154,43.25650511569989,402.6149268649228,1.1130917667660636,5.571968204145469,4.9325241309697905,0.7075,0.7094999999999999,0.0019999999999998908
climate_model_simulation_crashes,openml_catalog,540,18,2,0.9185185185185185,599.7636891357005,220.59548168809707,464.85376165423094,159.09317359434826,517.8816368579865,0.8634761427526373,5.984614069667025,6.412422402267158,0.8869999999999999,0.91,0.02300000000000013
FOREX_audchf_day_Close,openml_catalog,1833,10,2,0.49019607843137253,208.11347758630916,22.189247159942227,162.77954420076583,18.560175737802524,179.97702587065345,0.8648023566662716,5.7246300157737515,3.9830217073723686,0.4975,0.48300000000000004,-0.014499999999999957
